metric,group
DESPC,DESCRIPTIVE
DESSC,DESCRIPTIVE
DESWC,DESCRIPTIVE
DESPL,DESCRIPTIVE
DESPLd,DESCRIPTIVE
DESSL,DESCRIPTIVE
DESSLd,DESCRIPTIVE
DESWLsy,DESCRIPTIVE
DESWLsyd,DESCRIPTIVE
DESWLlt,DESCRIPTIVE
DESWLltd,DESCRIPTIVE
WRDNOUN,WORD INFORMATION
WRDVERB,WORD INFORMATION
WRDADJ,WORD INFORMATION
WRDADV,WORD INFORMATION
WRDPRO,WORD INFORMATION
WRDPRP1s,WORD INFORMATION
WRDPRP1p,WORD INFORMATION
WRDPRP2s,WORD INFORMATION
WRDPRP2p,WORD INFORMATION
WRDPRP3s,WORD INFORMATION
WRDPRP3p,WORD INFORMATION
DRNP,SYNTACTIC PATTERN DENSITY
DRVP,SYNTACTIC PATTERN DENSITY
DRNEG,SYNTACTIC PATTERN DENSITY
SYNNP,SYNTACTIC COMPLEXITY
SYNLE,SYNTACTIC COMPLEXITY
CNCAll,CONNECTIVES
CNCCaus,CONNECTIVES
CNCLogic,CONNECTIVES
CNCADC,CONNECTIVES
CNCTemp,CONNECTIVES
CNCAdd,CONNECTIVES
LDTTRa,LEXICAL DIVERSITY
LDTTRcw,LEXICAL DIVERSITY
RDFHGL,READABILITY
CRFNO1,REFERENTIAL COHESION
CRFAO1,REFERENTIAL COHESION
CRFSO1,REFERENTIAL COHESION
CRFCWO1,REFERENTIAL COHESION
CRFCWO1d,REFERENTIAL COHESION
CRFANP1,REFERENTIAL COHESION
CRFNOa,REFERENTIAL COHESION
CRFAOa,REFERENTIAL COHESION
CRFSOa,REFERENTIAL COHESION
CRFCWOa,REFERENTIAL COHESION
CRFCWOad,REFERENTIAL COHESION
CRFANPa,REFERENTIAL COHESION
