index,num_words,num_different_forms,num_different_forms_incidence,num_words_with_punct,num_paragraphs,num_paragraphs_incidence,num_sentences,num_sentences_incidence,sentences_per_paragraph_mean,sentences_per_paragraph_std,sentences_length_mean,sentences_length_std,sentences_length_no_stopwords_mean,sentences_length_no_stopwords_std,num_syllables_words_mean,num_syllables_words_std,words_length_mean,words_length_std,words_length_no_stopwords_mean,words_length_no_stopwords_std,lemmas_length_mean,lemmas_length_std,lexical_density,noun_density,verb_density,adj_density,adv_density,simple_ttr,content_ttr,nttr,vttr,adj_ttr,adv_ttr,lemma_ttr,lemma_content_ttr,lemma_nttr,lemma_vttr,lemma_adj_ttr,lemma_adv_ttr,honore,maas,mtld,flesch,min_wf_per_sentence,num_rare_nouns,num_rare_nouns_incidence,num_rare_adj,num_rare_adj_incidence,num_rare_verbs,num_rare_verbs_incidence,num_rare_advb,num_rare_advb_incidence,num_rare_words,num_rare_words_incidence,num_dif_rare_words,num_dif_rare_words_incidence,mean_rare,mean_distinct_rare,num_lexic_words,num_lexic_words_incidence,num_noun,num_noun_incidence,num_proper_noun,num_proper_noun_incidence,ratio_proper_nouns_per_nouns,num_adj,num_adj_incidence,num_adv,num_adv_incidence,num_verb,num_verb_incidence,num_past,num_past_incidence,num_pres,num_pres_incidence,num_indic,num_indic_incidence,num_impera,num_impera_incidence,num_past_irregular,num_past_irregular_incidence,num_past_irregular_mean,num_personal_pronouns,num_personal_pronouns_incidence,num_first_pers_pron,num_first_pers_pron_incidence,num_first_pers_sing_pron,num_first_pers_sing_pron_incidence,num_third_pers_pron,num_third_pers_pron_incidence,left_embeddedness,num_decendents_noun_phrase,num_modifiers_noun_phrase,mean_depth_per_sentence,num_subord,num_subord_incidence,num_punct_marks_per_sentence,num_total_prop,mean_propositions_per_sentence,mean_vp_per_sentence,mean_np_per_sentence,noun_phrase_density_incidence,verb_phrase_density_incidence,num_neg,negation_incidence,num_ger,gerund_incidence,num_inf,infinitive_incidence,polysemic_index,hypernymy_verbs_index,hypernymy_nouns_index,hypernymy_index,noun_overlap_adjacent,noun_overlap_all,argument_overlap_adjacent,argument_overlap_all,stem_overlap_adjacent,stem_overlap_all,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std,all_connectives,all_connectives_incidence,causal_connectives,causal_connectives_incidence,temporal_connectives,temporal_connectives_incidence,conditional_connectives,conditional_connectives_incidence,logical_connectives,logical_connectives_incidence,adversative_connectives,adversative_connectives_incidence
0,244.0,146,598.3607,267.0,2,8.1967,13.0,53.2787,6.5,1.5,18.7692,9.1496,7.6154,3.7732,1.9959,1.1107,4.7366,2.7971,7.2222,2.4352,4.3909,2.553,0.4918,0.2254,0.1967,0.0287,0.041,0.5984,0.874,0.8,0.8958,1.0,0.8,0.6885,0.8336,0.7636,0.7708,1.0,0.8,1089.2466,0.0476,117.0,67.9413,3.0992,5.0,20.4918,2.0,8.1967,21.0,86.0656,1.0,4.0984,29.0,118.8525,27.0,110.6557,24.1667,26.4706,120.0,491.8033,55.0,225.4098,4.0,16.3934,0.0678,7.0,28.6885,10.0,40.9836,48.0,196.7213,20.0,81.9672,3.0,12.2951,31.0,127.0492,0.0,0.0,5.0,20.4918,0.25,7.0,28.6885,0.0,0.0,0.0,0.0,7.0,28.6885,4.6154,1.5584,1.1818,5.5385,26.0,106.5574,1.7692,49.0,3.7692,3.6923,5.9231,315.5738,196.7213,2.0,8.1967,1.0,4.0984,11.0,45.082,4.2679,1.9091,7.4516,6.0,0.0909,0.1842,0.25,0.3077,0.1667,0.2308,0.0147,0.0271,0.0196,0.0321,26.0,106.5574,5.0,20.4918,3.0,12.2951,1.0,4.0984,8.0,32.7869,9.0,36.8852
1,387.0,173,447.0284,445.0,4,10.3359,24.0,62.0155,6.0,1.4142,16.125,9.475,5.7083,3.7022,1.9018,0.9595,4.4026,2.4349,6.9927,1.5637,4.1065,2.2335,0.4651,0.1525,0.1938,0.0439,0.0749,0.447,0.7095,0.5763,0.8133,1.0,0.4483,0.5375,0.6101,0.5254,0.56,0.9412,0.4138,688.7292,0.0698,69.1683,76.284,2.2483,14.0,36.1757,4.0,10.3359,30.0,77.5194,0.0,0.0,48.0,124.031,40.0,103.3592,26.6667,32.0,180.0,465.1163,59.0,152.4548,13.0,33.5917,0.1806,17.0,43.9276,29.0,74.9354,75.0,193.7984,12.0,31.0078,15.0,38.7597,45.0,116.2791,4.0,10.3359,8.0,20.6718,0.6667,29.0,74.9354,3.0,7.7519,0.0,0.0,26.0,67.1835,4.1667,1.1613,0.8871,4.875,42.0,108.5271,2.4167,78.0,3.25,3.125,5.1667,320.4134,193.7984,7.0,18.0879,1.0,2.584,10.0,25.8398,3.0,2.25,8.45,6.6786,0.25,0.1562,0.3043,0.192,0.2174,0.1522,0.0356,0.0519,0.0179,0.0346,37.0,95.6072,12.0,31.0078,5.0,12.9199,0.0,0.0,16.0,41.3437,4.0,10.3359
2,467.0,235,503.212,536.0,4,8.5653,24.0,51.3919,6.0,2.5495,19.4583,14.6628,6.75,4.3229,1.97,1.0301,4.6146,2.5331,6.9136,2.1239,4.2184,2.2065,0.4968,0.1756,0.1884,0.0707,0.0621,0.5032,0.6991,0.7073,0.8182,0.7879,0.4828,0.5482,0.5994,0.6463,0.5455,0.7576,0.4483,859.3006,0.0531,126.3179,68.7912,2.8125,10.0,21.4133,7.0,14.9893,31.0,66.3812,0.0,0.0,48.0,102.7837,48.0,102.7837,20.6897,28.5714,232.0,496.788,82.0,175.5889,1.0,2.1413,0.012,33.0,70.6638,29.0,62.0985,88.0,188.4368,6.0,12.848,17.0,36.4026,61.0,130.621,0.0,0.0,2.0,4.2827,0.3333,60.0,128.4797,34.0,72.8051,16.0,34.2612,25.0,53.5332,3.875,1.1329,0.958,5.25,53.0,113.4904,2.875,91.0,3.7917,3.6667,5.9583,306.2099,188.4368,5.0,10.7066,3.0,6.424,15.0,32.1199,4.5478,1.55,8.2593,6.4459,0.1,0.0959,0.2174,0.3007,0.1304,0.1486,0.0171,0.0248,0.0174,0.0289,48.0,102.7837,17.0,36.4026,10.0,21.4133,5.0,10.7066,14.0,29.9786,2.0,4.2827
3,321.0,181,563.8629,354.0,2,6.2305,16.0,49.8442,8.0,1.0,20.0625,7.1717,6.8125,2.9837,1.8162,0.9702,4.243,2.4692,6.6881,2.0663,4.0156,2.2883,0.4953,0.1807,0.1838,0.053,0.0779,0.5639,0.7882,0.8103,0.8814,0.9412,0.52,0.6012,0.7203,0.7759,0.6441,0.9412,0.52,1008.172,0.0488,101.5625,77.4043,3.5869,7.0,21.8069,5.0,15.5763,13.0,40.4984,0.0,0.0,25.0,77.8816,23.0,71.6511,15.7233,18.1102,159.0,495.3271,58.0,180.6854,0.0,0.0,0.0,17.0,52.9595,25.0,77.8816,59.0,183.8006,22.0,68.5358,9.0,28.0374,37.0,115.2648,0.0,0.0,15.0,46.729,0.6818,33.0,102.8037,22.0,68.5358,16.0,49.8442,11.0,34.2679,2.9375,1.2,0.98,5.875,38.0,118.3801,2.0625,68.0,4.25,3.6875,6.25,311.5265,183.8006,7.0,21.8069,3.0,9.3458,16.0,49.8442,4.7683,1.8182,8.25,5.8103,0.0,0.0877,0.2667,0.35,0.0,0.0833,0.0229,0.0388,0.0176,0.031,29.0,90.3427,5.0,15.5763,5.0,15.5763,2.0,6.2305,15.0,46.729,2.0,6.2305
4,1282.0,515,401.7161,1671.0,2,1.5601,123.0,95.9438,61.5,35.5,10.4228,7.0906,4.1138,3.0342,1.8861,0.9951,4.395,2.5675,6.4486,2.437,4.2654,2.436,0.4758,0.1981,0.1833,0.0398,0.0546,0.4017,0.6644,0.6811,0.7191,0.8431,0.4143,0.5094,0.5663,0.6339,0.4468,0.7843,0.4,1059.9751,0.0539,81.7731,83.0419,2.755,47.0,36.6615,16.0,12.4805,63.0,49.142,2.0,1.5601,128.0,99.844,103.0,80.3432,20.9836,25.3695,610.0,475.819,254.0,198.1279,41.0,31.9813,0.139,51.0,39.7816,70.0,54.6022,235.0,183.3073,59.0,46.0218,92.0,71.7629,169.0,131.8253,2.0,1.5601,32.0,24.961,0.5424,117.0,91.2637,59.0,46.0218,50.0,39.0016,35.0,27.3011,2.1301,1.1681,0.9226,4.1463,112.0,87.3635,3.1626,273.0,2.2195,1.9106,3.6748,352.5741,183.3073,26.0,20.2808,3.0,2.3401,32.0,24.961,4.3027,1.8545,8.5269,6.8739,0.0909,0.0251,0.1557,0.0969,0.0902,0.0224,0.0147,0.0435,0.0072,0.0272,129.0,100.624,29.0,22.6209,25.0,19.5008,1.0,0.78,40.0,31.2012,34.0,26.5211
5,308.0,161,522.7273,345.0,2,6.4935,17.0,55.1948,8.5,0.5,18.1176,6.2861,6.5882,2.4984,1.8961,1.0235,4.3409,2.602,6.7679,2.2717,4.2825,2.4722,0.4935,0.1786,0.2045,0.0487,0.0617,0.5227,0.804,0.6727,0.873,0.9333,0.7368,0.5942,0.7318,0.6727,0.6508,0.8667,0.7368,977.2114,0.0578,66.5354,74.5938,2.9912,11.0,35.7143,2.0,6.4935,19.0,61.6883,1.0,3.2468,33.0,107.1429,28.0,90.9091,21.7105,23.5294,152.0,493.5065,55.0,178.5714,4.0,12.987,0.0678,15.0,48.7013,19.0,61.6883,63.0,204.5455,18.0,58.4416,10.0,32.4675,37.0,120.1299,0.0,0.0,13.0,42.2078,0.7222,21.0,68.1818,1.0,3.2468,1.0,3.2468,19.0,61.6883,2.8235,1.378,1.1341,5.2353,31.0,100.6494,2.1765,63.0,3.7059,3.7059,4.8235,266.2338,204.5455,6.0,19.4805,2.0,6.4935,8.0,25.974,3.8046,1.1333,8.9545,6.9661,0.2,0.2031,0.4375,0.3088,0.25,0.2353,0.0272,0.0389,0.0206,0.0334,31.0,100.6494,6.0,19.4805,3.0,9.7403,0.0,0.0,11.0,35.7143,11.0,35.7143
6,259.0,155,598.4556,317.0,11,42.471,20.0,77.2201,1.8182,0.7158,12.95,8.7263,5.15,3.3507,1.9344,1.0867,4.3769,2.7069,6.7573,2.342,4.3385,2.6357,0.5019,0.2008,0.2046,0.0463,0.0502,0.5985,0.8272,0.6731,0.9434,1.0,0.6923,0.6332,0.7659,0.6731,0.6981,1.0,0.6923,1039.0596,0.0465,100.2883,77.5692,2.6185,20.0,77.2201,6.0,23.166,21.0,81.0811,1.0,3.861,48.0,185.3282,38.0,146.7181,36.9231,35.8491,130.0,501.9305,52.0,200.7722,0.0,0.0,0.0,12.0,46.332,13.0,50.1931,53.0,204.6332,15.0,57.9151,15.0,57.9151,29.0,111.9691,0.0,0.0,5.0,19.305,0.3333,27.0,104.2471,8.0,30.888,7.0,27.027,13.0,50.1931,4.1,1.0233,0.9186,4.45,23.0,88.8031,2.9,51.0,2.55,2.65,4.3,332.0463,204.6332,4.0,15.444,6.0,23.166,8.0,30.888,4.2,2.0,8.2093,7.449,0.2222,0.1818,0.3158,0.2526,0.1579,0.1579,0.0213,0.0382,0.0132,0.0295,14.0,54.0541,0.0,0.0,1.0,3.861,2.0,7.722,9.0,34.749,2.0,7.722
7,207.0,129,623.1884,225.0,2,9.6618,11.0,53.1401,5.5,1.5,18.8182,7.6849,7.8182,3.2979,1.8937,0.9316,4.3689,2.3483,6.3488,1.8285,4.3058,2.3377,0.4879,0.1884,0.1498,0.1014,0.0483,0.6232,0.9149,0.8718,0.9355,0.9524,0.9,0.7295,0.8634,0.7949,0.8065,0.9524,0.9,995.8672,0.0461,106.4042,74.0223,3.0773,6.0,28.9855,5.0,24.1546,9.0,43.4783,0.0,0.0,20.0,96.6184,20.0,96.6184,19.802,21.7391,101.0,487.9227,39.0,188.4058,8.0,38.6473,0.1702,21.0,101.4493,10.0,48.3092,31.0,149.7585,15.0,72.4638,1.0,4.8309,25.0,120.7729,0.0,0.0,9.0,43.4783,0.6,18.0,86.9565,0.0,0.0,0.0,0.0,18.0,86.9565,3.4545,1.2727,0.9848,5.1818,13.0,62.8019,1.6364,37.0,3.3636,2.8182,6.0,318.8406,149.7585,1.0,4.8309,0.0,0.0,4.0,19.3237,3.4906,1.0,8.6071,7.2647,0.2222,0.1111,0.3,0.3273,0.2,0.0909,0.0142,0.0223,0.0074,0.0171,25.0,120.7729,2.0,9.6618,6.0,28.9855,0.0,0.0,11.0,53.1401,6.0,28.9855
8,119.0,79,663.8655,139.0,3,25.2101,9.0,75.6303,3.0,2.1602,13.2222,5.2868,5.7778,2.6574,1.8319,0.9466,4.2542,2.5251,6.2115,2.239,4.2373,2.4656,0.5126,0.2353,0.1765,0.0504,0.0504,0.6639,0.9643,0.8571,1.0,1.0,1.0,0.7479,0.9524,0.8571,0.9524,1.0,1.0,964.5189,0.0494,95.8546,83.4374,3.3311,2.0,16.8067,3.0,25.2101,5.0,42.0168,1.0,8.4034,11.0,92.437,11.0,92.437,18.0328,19.2982,61.0,512.605,28.0,235.2941,0.0,0.0,0.0,6.0,50.4202,6.0,50.4202,21.0,176.4706,11.0,92.437,1.0,8.4034,12.0,100.8403,0.0,0.0,6.0,50.4202,0.5455,3.0,25.2101,1.0,8.4034,1.0,8.4034,2.0,16.8067,4.1111,1.3,1.2,4.7778,7.0,58.8235,2.2222,21.0,2.3333,2.3333,3.3333,252.1008,176.4706,0.0,0.0,0.0,0.0,6.0,50.4202,5.6216,2.8889,8.375,6.8788,0.0,0.125,0.125,0.1111,0.0,0.0833,0.0,0.0,0.008,0.0284,9.0,75.6303,1.0,8.4034,3.0,25.2101,0.0,0.0,5.0,42.0168,0.0,0.0
9,328.0,170,518.2927,380.0,12,36.5854,29.0,88.4146,2.4167,0.9538,11.3103,7.8437,4.5517,3.1358,1.8598,0.987,4.3578,2.4564,6.1742,2.3045,4.2875,2.3494,0.4299,0.1646,0.1677,0.0396,0.0579,0.5183,0.7286,0.7037,0.8909,0.8462,0.4737,0.5854,0.6694,0.6852,0.6727,0.8462,0.4737,806.9784,0.0574,94.0191,83.7181,3.2417,14.0,42.6829,2.0,6.0976,16.0,48.7805,1.0,3.0488,33.0,100.6098,28.0,85.3659,23.4043,26.1682,141.0,429.878,54.0,164.6341,25.0,76.2195,0.3165,13.0,39.6341,19.0,57.9268,55.0,167.6829,14.0,42.6829,13.0,39.6341,36.0,109.7561,0.0,0.0,8.0,24.3902,0.5714,25.0,76.2195,11.0,33.5366,11.0,33.5366,9.0,27.439,3.4483,0.9492,0.8136,3.8621,20.0,60.9756,1.7931,58.0,2.0,1.8966,4.069,359.7561,167.6829,3.0,9.1463,2.0,6.0976,8.0,24.3902,4.0548,2.5,7.6579,6.5833,0.1176,0.0769,0.2143,0.0911,0.1071,0.0542,0.014,0.0277,0.0096,0.0371,34.0,103.6585,7.0,21.3415,9.0,27.439,0.0,0.0,7.0,21.3415,11.0,33.5366
