feature,f-score,p-value
RDFHGL,506.73996704721094,2.3739848025795515e-111
DESSL,506.3131814855513,2.930159144978787e-111
CRFAOa,368.11105931505625,1.384749974331933e-81
CRFANPa,322.92031197170087,7.546856335905697e-72
LDTTRcw,313.26807523209874,9.112033624512727e-70
DRNP,284.20202778808505,1.7130461845717091e-63
CRFNOa,271.7282828793992,8.486320444112529e-61
DESSLd,260.3144139420405,2.488777943099625e-58
CRFCWOa,254.23505319809732,5.136232228975287e-57
SYNLE,252.95461764514343,9.718180483881613e-57
CRFAO1,252.7570953174621,1.0722788451938757e-56
CRFCWO1,247.38708967895988,1.5558042730331441e-55
CRFANP1,241.67748487717537,2.6753851351649314e-54
DRVP,205.04585590563485,2.3011308909422647e-46
SYNNP,182.62821667489374,1.6801660433851876e-41
CRFNO1,172.10104011040787,3.246403050460056e-39
DESWC,123.41213965946156,1.2778608882561904e-28
WRDPRO,97.73907186429318,5.149262523374709e-23
CRFCWOad,54.99629188900389,1.2374122804673895e-13
CRFSOa,53.69832482010514,2.392707570372609e-13
DRNEG,37.93651583978764,7.395184679649632e-10
WRDNOUN,34.827034098899546,3.6395209074888513e-09
WRDADJ,31.972244248086934,1.5771959792428506e-08
DESWLlt,31.560330717538633,1.949402793256494e-08
LDTTRa,30.743071844364295,2.96871540882807e-08
DESWLsy,25.2252388968115,5.128373197514983e-07
WRDPRP1p,25.054741821712323,5.602040005579535e-07
WRDPRP2s,24.717650132561143,6.671566214122017e-07
WRDVERB,24.585414138164303,7.145042323146703e-07
DESWLsyd,22.056953751939904,2.657745243534968e-06
CNCCaus,18.896721865944098,1.3841422639406706e-05
DESWLltd,16.3916382074414,5.163290397227312e-05
CRFCWO1d,15.200348693502946,9.6882337224619e-05
CRFSO1,13.46785555033294,0.00024307880068839707
CNCAll,11.490517555017842,0.0007003642934915661
WRDPRP3s,10.061830401652742,0.0015151542008549606
CNCTemp,9.679700715925808,0.0018647850436920859
CNCLogic,8.901065903217372,0.002852188079776145
DESSC,8.716340702455641,0.003155989353286921
DESPL,8.716340702455641,0.003155989353286921
CNCAdd,6.700491285069982,0.009642985406466811
WRDADV,6.658035530978621,0.009875372659078783
WRDPRP3p,5.790286035385181,0.016120588241722147
CNCADC,0.5185244954208336,0.47147701934014175
WRDPRP2p,0.3672876234644991,0.5444907612517991
WRDPRP1s,0.024234609360241414,0.8762904278176609
