feature,f-score,p-value
mean_distinct_rare,1082.5630528139407,1.5764246653871233e-233
num_dif_rare_words_incidence,1072.3732125660908,2.1898076250582436e-231
mean_rare,986.0037843211395,3.385236540086349e-213
mtld,916.17740978337,1.8655305794121582e-198
num_rare_verbs_incidence,777.6217792173197,4.150501567708666e-169
num_rare_words_incidence,740.5757550334563,3.0676352648244654e-161
num_past,627.3470984558703,3.9419346703790477e-137
num_rare_verbs,500.2046437144825,5.962493573412101e-110
mean_np_per_sentence,478.14436353794315,3.1869245134971318e-105
lemma_vttr,470.85930923894506,1.162788876200109e-103
hypernymy_verbs_index,470.67226797915384,1.275302652548771e-103
content_overlap_all_mean,450.35851981642065,2.9082174987087176e-99
sentences_length_mean,435.23826941632933,5.122702580249827e-96
causal_connectives,406.83465421611163,6.48204685784362e-90
lemma_content_ttr,393.90941893185857,3.8963954408793685e-87
all_connectives,358.4198822083584,1.6900643499817265e-79
polysemic_index,357.82930164831504,2.2650700717472535e-79
logical_connectives,329.61985616102754,2.7117359492954484e-73
sentences_length_no_stopwords_mean,316.08547218337736,2.2483230054638478e-70
mean_depth_per_sentence,309.5366859421701,5.816239523704633e-69
lemma_nttr,300.2754855569465,5.797383131415604e-67
ratio_proper_nouns_per_nouns,300.2161072139122,5.971019346025106e-67
num_dif_rare_words,279.04874237816387,2.223093622410546e-62
content_overlap_adjacent_mean,271.13001516379234,1.142910209025749e-60
vttr,268.9352004128116,3.406957771755776e-60
num_inf,259.9476608134632,2.9873490699069413e-58
flesch,259.21558611875565,4.3011049540362134e-58
content_ttr,250.9824241740227,2.5952246530184963e-56
num_rare_nouns_incidence,247.53735188903775,1.4435972993860829e-55
noun_overlap_all,246.0379756297413,3.04679412883157e-55
num_noun,244.5637962778497,6.3505457339346985e-55
num_decendents_noun_phrase,243.71036067407516,9.715808229805449e-55
stem_overlap_all,240.41353638214568,5.0225231998344204e-54
argument_overlap_all,221.99644726139528,4.881391315326119e-50
nttr,214.66138009872643,1.8955752439535795e-48
num_past_irregular,209.33927500523095,2.6989518358148695e-47
left_embeddedness,199.13443763464525,4.403518845412986e-45
