feature,f-score,p-value
num_words,6470.5641531933625,0.0
num_different_forms,6250.6312219104,0.0
num_noun,6044.9664142481415,0.0
num_words_with_punct,5951.816173683797,0.0
num_lexic_words,5536.531549023742,0.0
all_connectives,4237.652837312309,0.0
words_length_no_stopwords_mean,4234.00742864435,0.0
num_verb,4009.8298711029815,0.0
lemma_ttr,3971.050848379255,0.0
causal_connectives,3919.2330289141178,0.0
num_subord,3791.9021932721507,0.0
num_total_prop,3535.9145548150846,0.0
num_inf,3364.4952241256046,0.0
num_dif_rare_words,3261.4660318684464,0.0
num_rare_words,3256.1867087106352,0.0
num_rare_verbs,3029.3705814394825,0.0
num_neg,2998.316835815222,0.0
num_third_pers_pron,2971.908986157508,0.0
num_adv,2896.9011224189735,0.0
num_adj,2729.6621103906655,0.0
num_syllables_words_std,2525.2423293263464,0.0
num_indic_incidence,2494.9431985223387,0.0
num_different_forms_incidence,2438.502171881979,0.0
simple_ttr,2438.4817904368983,0.0
num_pres_incidence,2204.2753993106135,0.0
words_length_std,2181.4993201915795,0.0
conditional_connectives,2173.0291335859315,0.0
num_rare_nouns,1972.1982604690972,0.0
adversative_connectives,1962.7206409642042,0.0
num_indic,1814.0582641207072,0.0
num_ger,1810.7412936576486,0.0
lemmas_length_std,1696.4351839600145,0.0
num_modifiers_noun_phrase,1612.253417491969,0.0
num_decendents_noun_phrase,1596.3273852781083,0.0
num_first_pers_pron_incidence,1594.5849143475812,0.0
num_past,1574.9988059957202,0.0
temporal_connectives,1541.1255508888157,0.0
left_embeddedness,1523.594771382064,0.0
ratio_proper_nouns_per_nouns,1462.170829202036,0.0
logical_connectives,1373.1920300151219,0.0
sentences_per_paragraph_mean,1362.9524808416122,0.0
num_first_pers_sing_pron_incidence,1360.0738310697382,0.0
hypernymy_verbs_index,1354.6284512041912,0.0
num_rare_adj,1265.486678161793,0.0
flesch,1261.380595146337,0.0
words_length_no_stopwords_std,1258.8630254211741,0.0
conditional_connectives_incidence,1250.4659504768372,0.0
