feature,f-score,p-value
DESWC,6217.155498601714,0.0
DESWCU,6019.490011565961,0.0
DRSCONJc,5709.057421748907,0.0
WRDVERBc,4928.309622672071,0.0
WRDCONTc,4908.6736886479175,0.0
DRVPc,4844.371338461726,0.0
WRDPROc,4621.348645898625,0.0
RDSMOG,4170.487039879042,0.0
WRDNOUNc,4049.399181648073,0.0
DESWNSLlt,3925.6004598802924,0.0
TSSRxl,3747.8689006425648,0.0
TSSRsh,3682.45748819987,0.0
WFRCvb,3559.498729038859,0.0
DRINFc,3484.804355567729,0.0
DRNPc,3184.341545543052,0.0
DRNEGc,3132.229472263663,0.0
RDFOG,3130.014445105287,0.0
RDBR,3012.525972125205,0.0
DESCWLlt,2912.109568538936,0.0
DESCWLltd,2851.564474760621,0.0
WRDCONT,2800.334381339476,0.0
DESCWLsy,2767.13007393054,0.0
PSYVAL3,2756.9492550857954,0.0
LDTTRa,2709.0189039921147,0.0
DESWCUi,2709.018903990119,0.0
LDTTRLa,2631.0678365351932,0.0
WRDADVc,2555.3946273363276,0.0
WRDADJc,2411.381755702741,0.0
LDTTRLifn,2403.023502808313,0.0
DRSCONJ,2346.955095612996,0.0
PSYC3,2307.8140774273747,0.0
PSYVAL0,2302.5755000504055,0.0
DESWLltd,2295.690049637752,0.0
WFRCcw,2270.4501871381335,0.0
RDSPP,2269.563232629715,0.0
WFRCcwd,2248.3603661953416,0.0
DESSCi,2224.0871368127728,0.0
DESSLmax,2093.229566962017,0.0
DRNP,2025.9185863986434,0.0
DESLLltd,1945.305965646213,0.0
PSYIM3,1933.8005326408236,0.0
RDFHGL,1858.7036267645778,0.0
DESSL,1844.5757298673382,0.0
WFMw,1839.103247930726,0.0
DESWLsyd,1820.038133287167,0.0
PSYARO3,1758.4650122648306,0.0
WRDPRP3sc,1674.0415609159986,0.0
PSYAoA2,1569.0546317934104,0.0
DRGERc,1555.5087063588496,0.0
DRCCONJ,1527.2711313021218,0.0
DRCCONJc,1525.0106994211371,0.0
DESCWLsyd,1496.9222785742195,0.0
PSYIM1,1462.3486079877148,0.0
CRFAOa,1367.4253033014975,0.0
CRFANPa,1364.2452802077783,0.0
PSYC1,1345.6442300785977,0.0
LDTTRLno,1321.0679487668342,0.0
DESWNSLltd,1304.514576641101,0.0
DESSNSL,1242.1852970004866,0.0
LDDno,1210.6443018340792,0.0
WRDNOUN,1210.644301833557,0.0
LDTTRno,1162.9391347633116,0.0
WFRCadj,1146.277054162023,0.0
CRFNOa,1144.3427067200662,0.0
CRFSOa,1110.8787822746635,0.0
CRFAO1,1039.2908488625787,0.0
WRDPRP3pc,1031.9237540347297,0.0
CRFNO1,1021.0809115664845,0.0
CRFSO1,1014.7732231991233,0.0
CRFANP1,867.811953967176,0.0
WFRCvbi,855.2766320447869,0.0
DESSLd,835.6449137492989,0.0
LDTTRLipron,796.7838062531747,0.0
DRVP,777.901802014011,0.0
PSYIM0,770.6053178376762,0.0
LDTTRvb,763.9394425773907,6e-323
DESWLsy,759.3846710207821,4.353e-321
DESWLlt,757.846664966269,1.858e-320
PSYVAL1,725.3012960957539,4.240805364113716e-307
WFRCnoi,715.1822483125518,6.129582651653214e-303
WFRCno,707.929729672125,5.9005510870904e-300
CNCLogic,699.886106591815,1.2068925846483812e-296
DESLLlt,680.3284992590911,1.3800230621710937e-288
LDTTRLpron,676.4486895694481,5.493596585493551e-287
SYNLE,674.4474279466651,3.6755727754062884e-286
DESSC,665.0928857670989,2.663547017934005e-282
DESPL,659.3790005300978,6.089865384492996e-280
WRDPRP2sc,654.7526530016728,4.95984782977348e-278
LDDvb,654.2948701613242,7.666306856502305e-278
PSYARO1,619.5506356407236,1.8066437451640675e-263
SYNCLS4,612.8531616625434,1.0755598870722039e-260
PSYAoA,609.7943266367477,1.9923761935675956e-259
PSYC0,582.5620943381255,3.968145527988071e-248
SYNCLS3,538.315787196021,1.015157432446776e-229
SYNCLS1,517.7337320874599,3.8924831025009793e-221
PSYFM2,510.9227027723453,2.714423813236828e-218
PSYVAL2,508.7388053045394,2.2167378218198054e-217
SYNCLS5,500.9115947556036,4.12797988520584e-214
PSYARO2,499.25491123826095,2.0328627715820928e-213
DESSNSLd,484.9992526082219,1.8598947174252487e-207
WRDPRP1s,473.2211841021938,1.5835742958323376e-202
PSYAoA3,469.75727981581656,4.471151445116226e-201
DRGER,468.3141541961423,1.7986769623523497e-200
CNCAdd,456.36816123952104,1.826973380537156e-195
DRNEG,437.84733267452856,1.079172834511905e-187
WRDPRP2s,379.82742968806474,2.812192594048405e-163
DRINF,378.2898770831606,1.2518230736085002e-162
WFRCcwdi,374.8414377154164,3.566783872792136e-161
SECLOSgiv,365.6493617970756,2.7029959732062484e-157
PSYC2,363.0184377275624,3.489328542042174e-156
DESSLmin,353.6732950819764,3.0937748806251877e-152
WFRCadv,347.7885591697587,9.503200669409979e-150
WRDPRP1sc,321.81386902478835,9.338903811048081e-139
DESPCi,321.1509969159454,1.782818461005691e-138
WRDADJ,310.1824301853487,7.938992161570507e-134
LDTTRcw,306.39665285438497,3.199962749269703e-132
LDTTRLrpron,292.60042155249744,2.287959902896833e-126
SYNNP,280.96237229058437,2.0079731259307304e-121
PSYFM3,269.5632064826125,1.4088881171088208e-116
PSYIM2,265.10623830832026,1.1087056715412288e-114
PSYAoA0,258.7424533957989,5.662609787105063e-112
CNCTemp,249.8042131748742,3.622834398149296e-108
SYNCLS6,247.67101203570311,2.9361796157252074e-107
WFRCcwi,242.70764404695532,3.825883212188761e-105
WRDPRO,215.43023874267092,1.661014122918927e-93
WRDPRP3p,213.6260229589065,9.794593856730736e-93
WFRCadji,208.8266981873565,1.0999833269714756e-90
PSYARO0,208.03860836632964,2.388644928501327e-90
WRDVERB,201.03694597573968,2.3495843015974443e-87
SECLOSall,197.70002590422226,6.279369055025873e-86
CRFCWOa,187.36964091165814,1.650811278336646e-81
SYNMEDpos,182.67295205602124,1.691639106305139e-79
LDVOCd,180.78101926842817,1.0925294923324122e-78
WRDPRP2pc,174.46884993132346,5.522809011818477e-76
PSYFM1,148.72608366692236,6.058640718027325e-65
LDTTRLvb,146.87844958939948,3.763656722974233e-64
WRDPRP3s,139.9135066951423,3.688519128685636e-61
RDMU,112.74863576304288,1.7734723342779756e-49
TSSRmd,103.25876309629786,2.1659763423995102e-45
CNCADC,100.37824182503294,3.773558332788637e-44
LDDadj,98.62660742135519,2.1458218032802772e-43
SYNCLS2,97.44880434996048,6.905726219571915e-43
LDMaas,83.6366061957783,6.2450056780700775e-37
SYNCLS7,82.2102631779406,2.576253429218317e-36
CRFCWO1,73.27912474461999,1.8461119726417567e-32
SECLOSadj,72.53562884921485,3.866525529784476e-32
LDTTRadv,69.53845109300809,7.616872982248684e-31
