feature,f-score,p-value
num_noun,15322.829206928849,0.0
num_words,12113.250840776825,0.0
num_lexic_words,11766.696776870238,0.0
num_words_with_punct,10945.412725236776,0.0
num_different_forms,10562.830972180573,0.0
words_length_no_stopwords_mean,10529.201553292269,0.0
num_adj,8963.817772591576,0.0
lemma_ttr,8610.147104250678,0.0
num_inf,8332.687363785746,0.0
words_length_std,7405.49989610664,0.0
num_subord,7364.966301473888,0.0
num_syllables_words_std,7116.1706763295715,0.0
all_connectives,6910.251816009058,0.0
num_rare_words,6691.938296250857,0.0
num_dif_rare_words,6626.276336354597,0.0
num_total_prop,6497.747131451701,0.0
num_verb,6370.93102197971,0.0
num_decendents_noun_phrase,6354.598422056622,0.0
causal_connectives,6318.696264035385,0.0
lemmas_length_std,6198.654009419331,0.0
num_modifiers_noun_phrase,6046.9413367291,0.0
num_different_forms_incidence,5448.150338704931,0.0
simple_ttr,5448.062569723441,0.0
num_indic_incidence,5309.707369309979,0.0
num_personal_pronouns_incidence,5189.151209038165,0.0
flesch,4918.5456556954905,0.0
num_first_pers_pron_incidence,4742.616201519185,0.0
num_rare_adj,4526.472109108949,0.0
num_rare_nouns,4324.870089002978,0.0
num_first_pers_sing_pron_incidence,4193.469132252429,0.0
logical_connectives,3726.1504333568882,0.0
num_adv,3667.8491222128587,0.0
num_rare_verbs,3667.62900861437,0.0
words_length_no_stopwords_std,3519.563132603401,0.0
num_syllables_words_mean,3397.581357893231,0.0
num_pres,3201.144128279381,0.0
words_length_mean,3084.6146009176614,0.0
num_neg,2885.020788301949,0.0
left_embeddedness,2724.644897981676,0.0
stem_overlap_all,2626.1704834052757,0.0
noun_overlap_all,2529.6518777514866,0.0
lemmas_length_mean,2397.4297063677654,0.0
adversative_connectives,2353.100434706806,0.0
stem_overlap_adjacent,2321.7167362782225,0.0
num_third_pers_pron,2262.4975252035506,0.0
noun_overlap_adjacent,2253.044425105964,0.0
verb_phrase_density_incidence,2217.6706226852953,0.0
num_verb_incidence,2214.876622783679,0.0
verb_density,2214.778893002017,0.0
num_indic,2045.9819145998206,0.0
conditional_connectives,1905.9705065100736,0.0
num_ger,1892.5066079345288,0.0
num_pres_incidence,1776.4613354661074,0.0
mean_depth_per_sentence,1763.7679838710062,0.0
sentences_per_paragraph_mean,1527.7182769297394,0.0
lemma_nttr,1498.95941202646,1.061727e-318
ratio_proper_nouns_per_nouns,1484.085968242258,1.201039035e-315
num_sentences_incidence,1362.3735324676982,1.3535700754388916e-290
nttr,1195.3846086880476,4.902729419752161e-256
sentences_length_mean,1182.1793345839542,2.7081933704738327e-253
temporal_connectives,1178.6623975976106,1.4562933633085731e-252
sentences_length_no_stopwords_mean,1089.0026417868855,6.627836128386853e-234
num_sentences,1026.15960946711,8.655124248846201e-221
num_rare_advb,981.0257954314163,2.3808894836758383e-211
mean_np_per_sentence,869.2810347386311,6.588504204153961e-188
num_proper_noun_incidence,835.593042797585,8.054320354791112e-181
hypernymy_verbs_index,835.523609993088,8.330015009289402e-181
sentences_length_std,764.4861931281323,7.87647763027477e-166
content_overlap_all_mean,709.0122739105818,4.1726779650538964e-154
argument_overlap_all,669.6802546030998,8.887835454858894e-146
noun_density,647.6207771184727,4.2225834894983707e-141
num_noun_incidence,647.5918139753513,4.282736997929154e-141
sentences_length_no_stopwords_std,638.8152276151449,3.11595705032555e-139
argument_overlap_adjacent,580.4267507388196,7.891142656564134e-127
polysemic_index,511.36575447187283,4.04130955925636e-112
num_past,434.3103632808494,1.1732539597054696e-95
logical_connectives_incidence,414.3164005773197,2.2391605735101295e-91
content_overlap_adjacent_mean,362.68501951754166,2.6424893416861044e-80
num_past_irregular_incidence,361.04524969591415,5.943941126736634e-80
noun_phrase_density_incidence,321.6128577248092,1.7717808493169544e-71
causal_connectives_incidence,313.92323004614053,7.995153843151352e-70
lemma_content_ttr,309.7144422646991,6.435847750140261e-69
num_paragraphs_incidence,291.7888427613674,4.66125347524281e-65
conditional_connectives_incidence,286.8606240227866,5.3739739480889284e-64
num_proper_noun,285.3482384118254,1.1381371452757989e-63
infinitive_incidence,222.6581469818945,3.8728817774463377e-50
mean_vp_per_sentence,222.63601708809557,3.9157896828004593e-50
mtld,218.85326202914993,2.575437226382933e-49
lexical_density,205.09857324850995,2.437274479170052e-46
num_lexic_words_incidence,205.08567781527873,2.4529898635894644e-46
gerund_incidence,204.29460971501032,3.6385857419607074e-46
num_first_pers_sing_pron,201.76043589294298,1.2868976441511897e-45
num_first_pers_pron,192.35192034476333,1.4032030826890513e-43
mean_propositions_per_sentence,189.92538662389967,4.7079218871767015e-43
mean_distinct_rare,185.49301552389588,4.2985347244225277e-42
hypernymy_index,184.26082646983838,7.950333963305797e-42
content_ttr,168.37946977055665,2.2108146930509677e-38
min_wf_per_sentence,150.26230512535759,1.8989683583145472e-34
adv_density,140.99879414801856,1.9598042327473473e-32
num_adv_incidence,140.96307661284024,1.9951705732447933e-32
num_subord_incidence,115.33518876433277,7.584286064854803e-27
maas,105.83596953452067,8.953859901859148e-25
num_past_incidence,105.60946388773574,1.0033385148148162e-24
num_personal_pronouns,98.79565398619681,3.0853448749926055e-23
temporal_connectives_incidence,95.06258614698727,2.0185153417009994e-22
mean_rare,91.77974633326302,1.0537598103092797e-21
honore,80.862828146759,2.583069611679901e-19
content_overlap_all_std,70.95209001166637,3.849909745860887e-17
lemma_adj_ttr,66.31419969083416,4.018799994277158e-16
negation_incidence,62.950321212537304,2.2062740488908343e-15
all_connectives_incidence,60.601149190555155,7.253293448135905e-15
adv_ttr,59.9007189680664,1.034462196245249e-14
num_paragraphs,55.375533757730246,1.0270823296634744e-13
vttr,50.6145651168315,1.1537190088564733e-12
num_impera_incidence,48.706765858469524,3.045017434840847e-12
num_third_pers_pron_incidence,39.86791105399651,2.762008336238834e-10
num_past_irregular,29.504005423239168,5.631052254390334e-08
content_overlap_adjacent_std,26.955045644879476,2.098373538830966e-07
num_rare_words_incidence,24.56542367626744,7.228862972275185e-07
adj_density,24.128743506824065,9.066211108632643e-07
num_adj_incidence,24.111684667764013,9.146803708262324e-07
num_rare_adj_incidence,22.003351576019345,2.735829413887168e-06
adversative_connectives_incidence,17.960535755569683,2.2632363971918657e-05
num_rare_verbs_incidence,17.816638457182545,2.440870288178855e-05
sentences_per_paragraph_std,15.720110422483685,7.363920034211663e-05
lemma_adv_ttr,13.456537163686662,0.0002446499764590685
num_rare_advb_incidence,9.204536820451976,0.002416586669582761
adj_ttr,6.508608572726478,0.010741125260533217
num_punct_marks_per_sentence,5.8250727957316615,0.015806306634395632
lemma_vttr,4.122291877168894,0.042332048854381465
num_dif_rare_words_incidence,1.239247227372495,0.2656266590199277
num_impera,0.9565358507040739,0.3280704784414996
hypernymy_nouns_index,0.8028015723673625,0.3702655088811847
num_rare_nouns_incidence,0.7851809989512143,0.3755696188890616
num_past_irregular_mean,0.06239054534857864,0.8027587270530383
