feature,f-score,p-value
DESWC,11621.171029441606,0.0
DESWNSLlt,10918.654718345004,0.0
RDSMOG,10636.508604452247,0.0
DESCWLlt,10244.053542543097,0.0
WRDCONTc,10148.489406680723,0.0
DESWCU,9966.124968122796,0.0
WRDNOUNc,9899.817147895617,0.0
DESCWLsy,9829.312063784877,0.0
DRINFc,8933.791076790158,0.0
TSSRxl,8544.79014982298,0.0
WRDADJc,8476.547267177788,0.0
RDSPP,8096.185441798255,0.0
DESWLltd,8089.898101224258,0.0
RDFOG,7989.291470262974,0.0
WRDVERBc,7492.124820249854,0.0
DESWLsyd,7476.508790522176,0.0
TSSRsh,7418.084624687544,0.0
DESLLltd,6899.355270679555,0.0
DRVPc,6856.463527548486,0.0
DESCWLltd,6304.0048945877015,0.0
DESWCUi,6192.251364662934,0.0
LDTTRa,6192.251364660895,0.0
LDTTRLifn,5794.494688330974,0.0
RDBR,5715.329283420232,0.0
LDTTRLa,5543.355245477015,0.0
DRSCONJc,5541.965129688489,0.0
DESCWLsyd,5266.111764267957,0.0
WFRCcwd,4847.215691043601,0.0
WFRCcw,4768.4633133593,0.0
PSYAoA2,4739.9091979615005,0.0
DRNP,4716.344256820664,0.0
PSYVAL0,4657.233616072285,0.0
WFRCvb,4472.571173832532,0.0
DRNPc,4471.58071539036,0.0
WFRCadj,4426.735121826964,0.0
WRDPROc,4098.6785142125855,0.0
RDFHGL,4095.7901775887585,0.0
DESSL,4032.678648830286,0.0
DESSCi,4024.3586636868818,0.0
DESWNSLltd,4016.315102193552,0.0
DESSLmax,3928.436486589748,0.0
DESWLlt,3456.1530497217404,0.0
DESSNSL,3435.669973312431,0.0
DESWLsy,3412.8237179085468,0.0
DRCCONJc,3269.5278407456253,0.0
WRDADVc,3222.6453630116466,0.0
PSYIM1,3082.844655306535,0.0
CRFSOa,3055.615278944634,0.0
DRNEGc,2896.9774430091984,0.0
PSYC3,2872.2938427601503,0.0
CRFNOa,2857.987343939317,0.0
DESLLlt,2730.314502434066,0.0
PSYARO3,2682.049559717578,0.0
LDTTRLno,2649.489887600167,0.0
PSYVAL3,2572.562964246004,0.0
CRFSO1,2546.86618544389,0.0
WFMw,2532.5712241044594,0.0
PSYIM3,2519.914845192821,0.0
PSYFM2,2409.600040421105,0.0
CRFNO1,2400.7738888256395,0.0
SECLOSgiv,2213.8452566752194,0.0
WRDCONT,2197.645844435313,0.0
LDTTRno,2147.4569279635602,0.0
SYNNP,1939.6153496250708,0.0
CRFAOa,1810.6072644461049,0.0
PSYC1,1791.7912683238749,0.0
SYNLE,1733.9182073301683,0.0
DRGERc,1705.7024414941482,0.0
CRFANPa,1701.2451528616812,0.0
PSYFM3,1615.846010997355,0.0
WRDPRP1s,1602.8374493474275,0.0
WFRCno,1586.3576151782765,0.0
WRDPRP3pc,1532.2856142522826,0.0
DESSLd,1470.8350709662147,6.3302718286e-313
SECLOSall,1388.3915302953471,5.842341821878808e-296
LDTTRcw,1380.9873745595928,1.9623820553024377e-294
CNCAdd,1377.7475522892073,9.135501331828081e-294
CRFAO1,1363.4670861177135,8.051647904523414e-291
PSYC0,1242.8108521150393,7.130840559991202e-266
DESSNSLd,1206.2372877436105,2.7401544919536877e-258
LDTTRLipron,1181.928284698076,3.0537024760634627e-253
PSYIM0,1094.7718645044667,4.157872757342954e-235
CRFANP1,1017.9673752225534,4.4607401311118977e-219
WRDPRP3sc,983.4586662323686,7.370526642262106e-212
CRFCWOa,975.0124757167113,4.3214951347695873e-210
WFRCnoi,971.9797292159985,1.8648933982562635e-209
DRSCONJ,965.0848294172621,5.183696311899226e-208
WFRCadv,947.6351358233692,2.348670983379944e-204
SYNCLS5,945.2542695316001,7.410887520815803e-204
DESSLmin,918.1909533254778,3.5139983322784535e-198
SYNCLS4,917.4982973416833,4.910767077473386e-198
PSYARO1,907.4236958081614,6.392341964198063e-196
WRDPRP2s,833.7200099717327,1.9968746725221233e-180
SECLOSadj,826.3545276752473,7.099986201996288e-179
DESPL,817.2829484664516,5.781300692388109e-177
DESSC,816.9661748196651,6.741564325536981e-177
LDTTRLpron,813.0008059195751,4.615521303069051e-176
SYNCLS1,777.4786874639456,1.4262168811621199e-168
PSYAoA3,706.8659814441519,1.1872533402728932e-153
SYNCLS3,664.8721630266219,9.285248738649297e-145
PSYAoA0,653.6848790765814,2.185369414386073e-142
PSYAoA,616.7226277074955,1.5250065854486285e-134
WRDPRP2sc,569.306992446263,1.8310448525321008e-124
SYNMEDpos,566.859189511237,6.075440310620143e-124
DRCCONJ,551.9464629886384,9.07955264053174e-121
WRDVERB,551.7323578927284,1.0084526842187256e-120
CRFCWO1,549.0479453679021,3.7609969063038404e-120
PSYVAL1,546.773646218436,1.1472722436447714e-119
LDDno,544.4816442521147,3.5305847114810625e-119
WRDNOUN,544.4816442519104,3.5305847118342776e-119
